column,family,visit,unit,role,definition,source_dtype,first_usable_timing,independent_measurement,n_rows,n_non_missing,n_missing,missingness_fraction,missingness_pct,workbook_patient_coverage_n,workbook_patient_coverage_pct,mri_complete4_cohort_n,mri_overlap_patient_coverage_n,mri_overlap_patient_coverage_pct,n_zero,possible_leakage_concern
CLINICAL-TRIAL-SUBJECT-ID,ID,not_applicable,not_applicable,patient_identifier,Unique six-digit Clinical Trial Subject identifier.,int64,join_only,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Direct identifier: exact joins/splits only; never a predictor and never publish values.
VOLUME_TUM_BLU_V10,FTV,T0,cc,absolute_measurement,Functional tumor volume satisfying the I-SPY2 PE/SER analysis criteria.,float64,T0,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Pretreatment-only value; still fit every transform on outer train. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
VOLUME_TUM_BLU_V20,FTV,T1,cc,absolute_measurement,Functional tumor volume satisfying the I-SPY2 PE/SER analysis criteria.,float64,T1,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T1; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
VOLUME_TUM_BLU_V30,FTV,T2,cc,absolute_measurement,Functional tumor volume satisfying the I-SPY2 PE/SER analysis criteria.,float64,T2,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T2; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
VOLUME_TUM_BLU_V40,FTV,T3,cc,absolute_measurement,Functional tumor volume satisfying the I-SPY2 PE/SER analysis criteria.,float64,T3,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
SPHERICITY_T0,SPH,T0,dimensionless,absolute_measurement,Sphericity derived from the three-dimensional FTV tumor mask.,float64,T0,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Pretreatment-only value; still fit every transform on outer train. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
SPHERICITY_T1,SPH,T1,dimensionless,absolute_measurement,Sphericity derived from the three-dimensional FTV tumor mask.,float64,T1,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T1; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
SPHERICITY_T2,SPH,T2,dimensionless,absolute_measurement,Sphericity derived from the three-dimensional FTV tumor mask.,float64,T2,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T2; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
SPHERICITY_T3,SPH,T3,dimensionless,absolute_measurement,Sphericity derived from the three-dimensional FTV tumor mask.,float64,T3,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
LD_T0,LD,T0,not declared in workbook,absolute_measurement,Imaging-reported longest tumor diameter.,float64,T0,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,"Pretreatment-only value; still fit every transform on outer train. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
LD_T1,LD,T1,not declared in workbook,absolute_measurement,Imaging-reported longest tumor diameter.,float64,T1,True,384,384,0,0,0,384,100,808,375,46.4108910891,6,"Unavailable before T1; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
LD_T2,LD,T2,not declared in workbook,absolute_measurement,Imaging-reported longest tumor diameter.,float64,T2,True,384,384,0,0,0,384,100,808,375,46.4108910891,65,"Unavailable before T2; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
LD_T3,LD,T3,not declared in workbook,absolute_measurement,Imaging-reported longest tumor diameter.,float64,T3,True,384,384,0,0,0,384,100,808,375,46.4108910891,128,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
BPE_5slice_mean_T0,BPE,T0,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,Contralateral central-five-slice fibroglandular mean early enhancement.,float64,T0,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Pretreatment-only value; still fit every transform on outer train. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
BPE_5slice_mean_T1,BPE,T1,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,Contralateral central-five-slice fibroglandular mean early enhancement.,float64,T1,True,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T1; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
BPE_5slice_mean_T2,BPE,T2,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,Contralateral central-five-slice fibroglandular mean early enhancement.,float64,T2,True,384,384,0,0,0,384,100,808,375,46.4108910891,1,Unavailable before T2; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
BPE_5slice_mean_T3,BPE,T3,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,Contralateral central-five-slice fibroglandular mean early enhancement.,float64,T3,True,384,384,0,0,0,384,100,808,375,46.4108910891,4,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
FTV_pch_T0_T1,FTV,T0→T1,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T1,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
FTV_pch_T0_T2,FTV,T0→T2,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T2,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
FTV_pch_T0_T3,FTV,T0→T3,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T3,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
Sphericity_pch_T0_T1,SPH,T0→T1,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T1,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
Sphericity_pch_T0_T2,SPH,T0→T2,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T2,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
Sphericity_pch_T0_T3,SPH,T0→T3,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T3,False,384,384,0,0,0,384,100,808,375,46.4108910891,0,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
LD_pch_T0_T1,LD,T0→T1,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T1,False,384,384,0,0,0,384,100,808,375,46.4108910891,47,"Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
LD_pch_T0_T2,LD,T0→T2,%,derived_baseline_percent_change,100 × (X_Tk − X_T0) / X_T0; materialized from absolute values.,float64,T2,False,384,384,0,0,0,384,100,808,375,46.4108910891,8,"Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
