population,seed,arm,timing,comparison,reference_model,comparison_model,metric,reference_value,comparison_value,improvement,ci_lower,ci_upper,confidence_level,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,bootstrap_unit,ci_method,orientation
full_808,2026,LOCAL0,T0,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6751492410028995,-0.004465290806754285,-0.044478433769964236,0.036534111209118536,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T0,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.49028666974244767,-0.05213305866477608,-0.10109978095783159,0.004577433144114378,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T0,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.22089239190996077,0.004946087221891687,-0.009999531454563856,0.019575379291013547,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL0,T1,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6862357155040082,0.006621183694354382,-0.034551805969732126,0.04631843819673918,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T1,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.4969747691732148,-0.04544495923400893,-0.09532540005817124,0.009847615602262372,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T1,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.2121982777506467,0.013640201381205752,-0.0011342079257052157,0.0274499423262275,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL0,T2,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6620910796520553,-0.01752345215759854,-0.06382823087421659,0.031044579040577832,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T2,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.4852085413461796,-0.057211187061044166,-0.11181533047932538,0.0018070875570834848,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T2,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.2247553200978408,0.0010831590340116548,-0.015346330400798315,0.017439603588723776,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL0,T3,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6633736994712606,-0.01624083233839324,-0.061078023786277066,0.02740881572525241,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T3,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.47457794532083025,-0.06784178308639349,-0.12503447396127118,-0.008044691231938506,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL0,T3,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.23066741880125122,-0.004828939669398763,-0.02312295168076097,0.012724648480789599,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL3,T0,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6823264540337711,0.0027119222241173135,-0.032675694812603746,0.0382319125219363,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T0,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.5037571895562248,-0.038662538850998907,-0.08511841816382082,0.016462558024571187,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T0,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.214277061178407,0.011561417953445452,-0.0031184210506367354,0.025355232490581914,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL3,T1,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6887600204673375,0.00914548865768372,-0.03137961224475854,0.0505522034183814,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T1,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.4991452699533665,-0.043274458453857245,-0.09126884257699341,0.010244706794120687,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T1,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.21159511065187667,0.014243368479975788,-0.00010738524459098159,0.027511833744668736,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL3,T2,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6721678321678323,-0.007446699641821541,-0.04838961011634571,0.03618752186434087,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T2,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.5000077170332358,-0.04241201137398798,-0.09514765795902953,0.013550676876700246,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T2,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.2185433718009897,0.007295107330862749,-0.0071436282229631,0.021604943026561206,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,2026,LOCAL3,T3,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6785536414804707,-0.0010608903291831062,-0.040457451760216666,0.039822040561390264,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T3,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.5167373671200775,-0.025682361287146294,-0.07803086412956386,0.030411093581891726,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,2026,LOCAL3,T3,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.21594121111811454,0.009897268013737914,-0.0033720925281682836,0.024228572513726447,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,3026,LOCAL0,T0,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6685587583148559,-0.011055773494797916,-0.048565814231092366,0.02753916622864655,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,3026,LOCAL0,T0,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.49304278458584944,-0.04937694382137431,-0.09803783933065144,0.0034517480728223525,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,3026,LOCAL0,T0,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.22159462230661559,0.004243856825236869,-0.010364525494417569,0.019092866096555736,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
full_808,3026,LOCAL0,T1,C+M_vs_C,C,C+M,auroc,0.6796145318096538,0.6528944226505201,-0.026720109159133698,-0.07245366499166916,0.01590752456145705,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,3026,LOCAL0,T1,C+M_vs_C,C,C+M,auprc,0.5424197284072237,0.485071443273668,-0.05734828513355572,-0.11070840668948873,-0.00033090383986494567,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference
full_808,3026,LOCAL0,T1,C+M_vs_C,C,C+M,brier,0.22583847913185245,0.2311191902552849,-0.005280711123432452,-0.021748016390457446,0.010534202456827317,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better)
