feature,model,input_contract,task,n_cells,macro_mean_spearman,macro_mean_r2,cell_values,evidence_source,evidence_source_sha256
LD,G1,strict DCE7 lesion-centered; no mask; response_state,static,4,0.2799033549740935,-0.43503343484347023,"T0:rho=0.343,R2=0.067; T1:rho=0.260,R2=-0.042; T2:rho=0.287,R2=-0.162; T3:rho=0.230,R2=-1.603",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
LD,G1,strict DCE7 lesion-centered; no mask; response_state,change,3,0.1094306053532272,-0.0059406807359581,"T0→T1:rho=0.108,R2=-0.002; T1→T2:rho=0.035,R2=-0.013; T2→T3:rho=0.186,R2=-0.003",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
SPH,G1,strict DCE7 lesion-centered; no mask; response_state,static,4,0.2622588462851291,0.06507270398512209,"T0:rho=0.465,R2=0.174; T1:rho=0.272,R2=0.061; T2:rho=0.205,R2=0.033; T3:rho=0.108,R2=-0.008",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
SPH,G1,strict DCE7 lesion-centered; no mask; response_state,change,3,0.008610156635187901,-0.03983981693009493,"T0→T1:rho=0.006,R2=-0.084; T1→T2:rho=-0.029,R2=-0.023; T2→T3:rho=0.049,R2=-0.013",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
LD,G3,strict DCE7 lesion-centered; no mask; response_state,static,4,0.32370240754072577,-0.06898131190002439,"T0:rho=0.356,R2=0.081; T1:rho=0.307,R2=-0.013; T2:rho=0.363,R2=-0.068; T3:rho=0.269,R2=-0.276",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
LD,G3,strict DCE7 lesion-centered; no mask; response_state,change,3,0.13823319306609586,0.001009162452481933,"T0→T1:rho=0.136,R2=-0.003; T1→T2:rho=0.057,R2=-0.003; T2→T3:rho=0.221,R2=0.009",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
SPH,G3,strict DCE7 lesion-centered; no mask; response_state,static,4,0.31779491409716687,0.07992673422022152,"T0:rho=0.490,R2=0.179; T1:rho=0.290,R2=0.063; T2:rho=0.290,R2=0.070; T3:rho=0.201,R2=0.007",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
SPH,G3,strict DCE7 lesion-centered; no mask; response_state,change,3,0.03401850798346413,-0.027828793883676862,"T0→T1:rho=0.040,R2=-0.038; T1→T2:rho=0.022,R2=-0.022; T2→T3:rho=0.040,R2=-0.023",additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
BPE,G1/G3,strict DCE7 lesion-centered; no mask; response_state,static,0,,,UNKNOWN：DGRS 未评估 BPE；OSRA 的旧输入含 mask 且空间不匹配,additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
BPE,G1/G3,strict DCE7 lesion-centered; no mask; response_state,change,0,,,UNKNOWN：DGRS 未评估 BPE；OSRA 的旧输入含 mask 且空间不匹配,additional_experiments/direct_grounded_response_state/metrics/final/probe_oof_metrics.csv,04260f3f6e3880606784d68515aced94d44042c01bb98be6795bbc8f1efa82b7
