scope,column,family,visit,unit,role,n_patients,n_valid_patients,n_missing_patients,missingness_fraction,missingness_pct,patient_coverage_fraction,patient_coverage_pct,missingness_type,coverage_basis,possible_leakage_concern
source_workbook,CLINICAL-TRIAL-SUBJECT-ID,ID,not_applicable,not_applicable,patient_identifier,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Direct identifier: exact joins/splits only; never a predictor and never publish values.
complete4_mri_cohort,CLINICAL-TRIAL-SUBJECT-ID,ID,not_applicable,not_applicable,patient_identifier,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Direct identifier: exact joins/splits only; never a predictor and never publish values.
mri_matched_reference,CLINICAL-TRIAL-SUBJECT-ID,ID,not_applicable,not_applicable,patient_identifier,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Direct identifier: exact joins/splits only; never a predictor and never publish values.
source_workbook,VOLUME_TUM_BLU_V10,FTV,T0,cc,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Pretreatment-only value; still fit every transform on outer train. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,VOLUME_TUM_BLU_V10,FTV,T0,cc,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Pretreatment-only value; still fit every transform on outer train. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,VOLUME_TUM_BLU_V10,FTV,T0,cc,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Pretreatment-only value; still fit every transform on outer train. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,VOLUME_TUM_BLU_V20,FTV,T1,cc,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T1; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,VOLUME_TUM_BLU_V20,FTV,T1,cc,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T1; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,VOLUME_TUM_BLU_V20,FTV,T1,cc,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T1; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,VOLUME_TUM_BLU_V30,FTV,T2,cc,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T2; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,VOLUME_TUM_BLU_V30,FTV,T2,cc,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T2; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
