gate,criterion,passed
R1,all_five_dS_positive,True
R1,mean_dS_at_least_0_05,True
R1,seed_t_ci_lower_positive,True
R1,all_leave_one_seed_out_means_positive,True
R1,all_leave_one_fold_out_recomputed_means_positive,True
R1,overall,True
R2,at_least_four_of_five_dD_positive,True
R2,mean_dD_at_least_0_05,True
R2,seed_t_ci_lower_positive,True
R2,all_leave_one_seed_out_means_positive,True
R2,all_leave_one_fold_out_recomputed_means_positive,True
R2,overall,True
R3,at_least_23_of_25_base_pass,False
R3,each_fold_at_most_two_failures,True
R3,overall,False
R4,all_50_selected_scalars_finite,True
R4,all_50_checkpoint_tensors_finite,True
R4,all_50_representation_std_at_least_0_05,True
R4,all_50_feature_arrays_finite,True
R4,overall,True
